EVENT CATEGORY	EVENT GROUP	EVENT SUBGROUP	EVENT TYPE	PLACE	EVENT START DATE	COMMENTS	FATALITIES	INJURED / INFECTED	EVACUATED	ESTIMATED TOTAL COST	NORMALIZED TOTAL COST	EVENT END DATE	FEDERAL DFAA PAYMENTS	PROVINCIAL DFAA PAYMENTS	PROVINCIAL DEPARTMENT PAYMENTS	MUNICIPAL COSTS	OGD COSTS	INSURANCE PAYMENTS	NGO PAYMENTS	UTILITY - PEOPLE AFFECTED	MAGNITUDE
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Fishing Lake SK	25/05/2007 12:00:00 AM	Fishing Lake SK, May 25, 2007. An estimated 300 homes and cottages (approximately 600 individuals) were damaged by flooding that was caused by a higher than normal snowfall and subsequent ice melt runoff. Fishing Lake, located two hours east of Saskatoon area, received 50 to 75 mm of rain.	0	0	600	0	0	25/05/2007 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Wildfire	Northwest Ontario	13/05/2007 12:00:00 AM	Northwest Ontario, May 13, 2007. Up to 300 people have been forced from their cottages in an area about 75kms west of Thunder Bay, where the biggest fire among many in Northwest Ontario, Thunder Bay #37, had raged through about 11,500 hectares.	0	0	300	0	0	13/05/2007 12:00:00 AM								0	0
Incident	Technology	Hazardous Chemicals	Derailment Release	Bellefleur NB	10/05/2007 12:00:00 AM	Bellefleur NB, May 10, 2007. A freight train derailment occured near Bellefleur approximately 15 kilometres north-west of Grand Falls, adjacent to the St. John River. Of the 36 rail cars that went off the tracks, five cars contained hazardous, flammable materials; a 1.6 kilometre evacuation radius was consequently ordered.	0	0	100	0	0	10/05/2007 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Winter Storm	Fishing Lake SK	28/04/2007 12:00:00 AM	Fishing Lake SK, April 28, 2007. An Estimated 300 homes and cabins have been damaged by flooding from higher than average snowfall and runoff at Fishing Lake.	0	0	0			28/04/2007 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Gatineau QC	23/04/2007 12:00:00 AM	Gatineau QC, April 23, 2007. Approximately 15,500 Hydro-Québec customers (46,500 individuals) were plunged into darkness in the Outaouais as a result of strong winds with gusts of up to 60 km/h.	0	0	0	0	0	23/04/2007 12:00:00 AM								46500	0
Disaster	Natural	Meteorological - Hydrological	Flood	Red Earth First Nation SK	19/04/2007 12:00:00 AM	Red Earth First Nation SK, April 19, 2007. The band council's decision to evacuate 691 residents from the northern reserve, mainly children, elderly residents and pregnant women, came as water covered one-third of a main access road, which divides the reserve.	0	0	691	125800000	6769506.7	19/04/2007 12:00:00 AM	125800000							0	0
Disaster	Natural	Geological	Landslide	Daniels Harbour NL	15/04/2007 12:00:00 AM	Daniels Harbour NL, April 15, 2007.	0	0	0	223990	12053.3	15/04/2007 12:00:00 AM	223990							0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Selkirk MB	03/04/2007 12:00:00 AM	Selkirk MB, April 3-13, 2007. Ice buildup and bad weather caused the Red River to breach its banks flooding the city of Selkirk. A two kilometre ice jam caused water levels to raise 60 cm. The subsequent flooding resulted in sewage spilling into the river and the evacuation of the Kiwanis I and II condominium buildings where 100 seniors were evacuated. In addition, numerous basements were flooded as well as the Marine Museum of Manitoba.	0	0	120	0	0	13/04/2007 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Maple Ridge BC	12/03/2007 12:00:00 AM	Maple Ridge BC, March 12, 2007. Mudslides and flooding hit British Colombia's lower mainland after a weekend of heavy rain, leading to road closures and evacuation warnings. About 170 houses were flooded and hundreds of people were told to leave their homes, after the Alouette River spilled its banks.	0	0	0	0	0	12/03/2007 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	South Coast and Lower Mainland BC	20/12/2006 12:00:00 AM	South Coast and Lower Mainland BC, December 20, 2006. Less than two weeks after a powerful windstorm struck British Columbia’s southern coast causing property damages and power outages, another windstorm impacted the region causing further severe power outages. Approximately 25,000 homes and businesses (75,000 individuals) lost power along British Columbia's south coast. In Vancouver Island, wind gusts of up to 90 km/h caused most of the damages leaving  20,000 B.C. Hydro customers (approximately 60,000 individuals) without power. On the mainland and along the Sunshine Coast 5000 hydro customers (approximately 15,000 individuas) were left in the dark. The Greater Vancouver area received wind gusts of 50 to 80 km/h, but no power outages were reported.	0	0	0	0	0	20/12/2006 12:00:00 AM								150000	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Vancouver BC	11/12/2006 12:00:00 AM	Vancouver BC, December 11, 2006. A powerful windstorm struck British Columbia’s southern coast resulting in approximately 190,000 power outages (570,000 individuals). The storm produced wind gusts of up to 100 km/h, which downed power lines and uprooted trees. Ferries had to be canceled due to the strong winds. In Vancouver damaged streetlights and fallen trees in the roads caused traffic delays throughout the city.	0	0	0	0	0	11/12/2006 12:00:00 AM								570000	0
Disaster	Natural	Meteorological - Hydrological	Winter Storm	Russell ON	01/12/2006 12:00:00 AM	Russell ON, December 1-2, 2006.  A major blackout, caused by a freezing rain storm, left virtually the entire town without electricity. The mayor declared a state of emergency, which lasted for several days.	0	0	0	0	0	02/12/2006 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Ontario and Quebec	29/10/2006 12:00:00 AM	Ontario and Quebec, October 29, 2006. A storm that blew in from the United States left about 49,000 Quebec and 30,000 Ontario residents without power (approximately 240,000 individuals). High winds felled lines in a broad band across central Ontario, while in Quebec, the Laurentians region, north on Montreal, and the Gasp were particularly hard hit.	0	0	0	0	0	29/10/2006 12:00:00 AM								240000	0
Disaster	Natural	Meteorological - Hydrological	Flood	Saint-Joseph et Vallée QC	28/10/2006 12:00:00 AM	Saint-Joseph et Vallée QC, October 28, 2006. In Saint-Joseph and Vallée, approximately 50 homes and 30 businesses were affected by a flash flood. 	0	0	240	0	0	28/10/2006 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Sainte-Anne-des-Plaines QC	19/08/2006 12:00:00 AM	Sainte-Anne-des-Plaines QC, August 19, 2006. A small community located 50 kilometres north-east of Montreal was at the centre of a torrential downpour that produced 135 mm of rain in less than three hours.	0	0	600	0	0	19/08/2006 12:00:00 AM								0	0
Incident	Technology	Hazardous Chemicals	Fire	Boisbriand QC	15/08/2006 12:00:00 AM	Boisbriand QC, August 15, 2006. Employees of Les Revêtements Polyval and workers from about ten surrounding factories as well as some residents were evacuated. Toxic chemicals, such as solvents and paints, helped fuel the flames. 	0	0	1500	0	0	15/08/2006 12:00:00 AM								0	0
Incident	Technology	Hazardous Chemicals	Fire	Amherstburg ON	15/08/2006 12:00:00 AM	Amherstburg ON, August 15, 2006. A huge fire at a plastics recycling plant forced hundreds of resiadents to flee their homes. Smoke was 20 meters high over the area and grew to roughly the size of two football fields.	0	3	1000	0	0	15/08/2006 12:00:00 AM								0	0
Incident	Technology	Fire	Non-Residential	Galiano Island BC	24/07/2006 12:00:00 AM	Galiano Island BC, July 24, 2006. A wildfire burned 61 hectares of land in the small Island of Galiano. The 30 kilometre long island hosts a modest population of 1000 residents. The fire reached up to 200 metres of people’s homes forcing the evacuation of approximately 120 residents. The fire is believed to have been sparked in a gravel pit, although the actual cause of the fire is unknown. It took 200 firefighters along with the help of helicopters and water bombers to extinguish the flames.	0	0	120	0	0	24/07/2006 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Wildfire	Cariboo-Chilcotin BC	06/07/2006 12:00:00 AM	Cariboo-Chilcotin BC, July 6, 2006. About 600 people living in remote communities in BC's Cariboo-Chilcotin region have been forced from their homes by the threat of two massive wildfires.	0	0	871	0	0	06/07/2006 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Wildfire	Nordegg AB	04/07/2006 12:00:00 AM	Nordegg AB, July 4-7, 2006. A wildfire that burned two kilometres away from the village of Nordegg, located 200 kilometres West of Red Deer, forced the evacuation of 130 residents, including dozens of campers. The fire grew to be 126 hectares in size and was likely sparked by lighting. Residents returned home July 7.	0	0	130	0	0	07/07/2006 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Wildfire	Tumbler Ridge BC	03/07/2006 12:00:00 AM	Tumbler Ridge BC, July 3-5, 2006. A state of emergency was declared for the town of Tumbler Ridge, where multiple wildfires burned threating the residents who live in the coal mining town. The largest of the fires grew to be 9,100 hectares in size and burn nearly 8 kilometres away from the town. Four thousands residents were evacuated due to the fires and returned home on July 5.	0	0	4000	0	0	05/07/2006 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Wildfire	Mistissini QC	16/06/2006 12:00:00 AM	Mistissini QC, June 16-18, 2006. Residents of the Cree community of Mistissini, located 550 kilometres north of Montreal, were forced to leave their homes due to a wildfire that approached within metres of their community. Approximately 3,200 residents were evacuated and were taken to the community of Chibougamou 90 kilometres away. Residents returned home on June 18.	0	0	3200	0	0	18/06/2006 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Aklavik NT	27/05/2006 12:00:00 AM	Aklavik NT, May 27, 2006. The remote community of Aklavik was buried under several feet of water after the Peel River channel overflowed its banks due to melting ice. Residents of the low-lying town were forced to evacuate due to flooding. Approximately 300 residents left their homes and fled to the nearby town of Inuvik located 55 kilometres away. The flooding caused severe infrastructure damage, including damages to roads as well as the town’s sewage system.	0	0	300	3140829	172731.2	27/05/2006 12:00:00 AM	3140829							0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Slocan River BC	20/05/2006 12:00:00 AM	Slocan River BC, May 20, 2006. Residents living near the Slocan River were at risk as high water levels caused by melting snowpacks forced the river to overflow its banks. Local authorities issued an evacuation order for 53 homes in Passmore and Slocan Park (approximately 159 individuals) as well, 98 other homes that were put on evacuation alert. Damages included road closures and basement flooding.	0	0	159	0	0	20/05/2006 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Kashechewan ON	23/04/2006 12:00:00 AM	Kashechewan ON, April 23, 2006. Spring flooding has forced hundreds of people to leave the northern Ontario reserve of Kashechewan. Kashechewan declared a state of emergency when water levels rose quickly and asked for immediate help from the province.	0	0	1100	0	0	23/04/2006 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Baie Verte Peninsula NL	17/04/2006 12:00:00 AM	Baie Verte Peninsula NL, April 17, 2007.  A severe rainstorm caused flooding along Newfoundland and Labrador's Northeast coast.  A number of communities in the Baie Verte Peninsula region of the province, such as Burlington and Middle Arm, were affected.	0	0	0	3235813	177954.9	17/04/2006 12:00:00 AM	3235813							0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Red Earth SK	13/04/2006 12:00:00 AM	Red Earth SK, April, 13, 2006. In northeastern Saskatchewan, the Red River First Nation scrambled to avoid the threatening Carrot River as leaders ordered a general evacuation of the band of 1,100.	0	0	1100	7283952	400584	13/04/2006 12:00:00 AM	7283952							0	0
Disaster	Natural	Meteorological - Hydrological	Storm Surge	Delta BC	04/02/2006 12:00:00 AM	Delta BC, February 4, 2006. A strong winter storm with sustained winds of 75 km/h brought an approximately one metre storm surge which coincided with the morning high tide resulting in water levels 5.5 metre above chart datum. Combined with high waves, overtopping and breaching of dykes allowed flooding of low-lying areas behind the dykes. Approximately 150-200 residential properties were affected.	0	0	0	0	0	04/02/2006 12:00:00 AM								0	0
Incident	Technology	Hazardous Chemicals	Leak / Spill Release	Glovertown NL	13/12/2005 12:00:00 AM	Glovertown NL, December 13, 2005.  A massive propane leak in a boat-building facility in Glovertown forced more than 250 people to evacuate their homes included 50 seniors living in a nursing home only metres away from the yard. 	0		250	0	0	13/12/2005 12:00:00 AM								0	0
